sale_id,customer_id,product_id,quantity_sold,sale_date
1,440,2,4,7/24/2024
2,599,62,2,3/28/2024
3,4045,18,3,4/17/2024
4,8975,24,3,8/30/2024
5,6321,93,4,3/26/2024
6,6816,42,5,2/28/2024
7,3177,53,4,7/28/2024
8,4659,6,5,8/4/2024
9,9829,36,4,8/24/2024
10,94,35,5,4/12/2024
11,5317,55,1,7/5/2024
12,503,56,3,4/5/2024
13,8123,85,1,8/14/2024
14,2369,5,1,8/12/2024
15,6297,21,3,2/10/2024
16,4389,16,5,1/13/2024
17,4145,59,2,9/8/2024
18,5380,97,4,8/8/2024
19,3944,28,5,2/8/2024
20,7682,40,2,4/19/2024
21,4688,5,3,4/9/2024
22,7398,13,1,6/16/2024
23,950,75,5,8/3/2024
24,2813,14,5,3/2/2024
25,2291,38,4,4/29/2024
26,351,70,2,8/26/2024
27,2455,6,2,4/8/2024
28,4275,77,2,4/18/2024
29,286,32,5,6/4/2024
30,3360,86,5,3/29/2024
31,312,97,1,3/10/2024
32,4371,84,2,8/19/2024
33,9113,74,5,5/6/2024
34,1512,34,4,5/25/2024
35,4789,51,2,5/19/2024
36,691,44,4,8/5/2024
37,7524,60,1,8/14/2024
38,3547,1,4,5/7/2024
39,4521,99,4,8/10/2024
40,1896,89,5,6/22/2024
41,5552,71,5,7/16/2024
42,7135,25,4,6/17/2024
43,6665,29,3,4/6/2024
44,3993,26,5,4/11/2024
45,1623,12,1,7/25/2024
46,2201,67,3,3/7/2024
47,8188,32,2,5/23/2024
48,695,48,1,4/15/2024
49,5372,91,4,1/18/2024
50,7200,42,1,5/24/2024
51,7415,95,3,7/23/2024
52,4690,1,1,2/28/2024
53,4636,74,4,8/1/2024
54,684,99,5,6/18/2024
55,90,16,5,1/16/2024
56,2690,70,4,1/19/2024
57,3693,32,1,8/31/2024
58,1787,68,2,5/9/2024
59,2505,37,2,1/16/2024
60,5430,71,5,8/15/2024
61,3785,79,4,7/7/2024
62,2749,56,4,9/3/2024
63,1034,27,1,8/18/2024
64,1794,89,4,4/10/2024
65,5253,96,5,3/20/2024
66,8638,1,1,3/5/2024
67,4264,5,1,8/5/2024
68,1446,2,2,8/17/2024
69,6338,61,2,5/20/2024
70,6056,16,1,4/9/2024
71,6766,45,4,6/15/2024
72,1016,45,4,3/16/2024
73,5820,25,3,5/16/2024
74,9013,51,2,2/4/2024
75,2362,90,2,7/17/2024
76,9167,75,2,3/11/2024
77,78,23,3,8/24/2024
78,9875,31,1,4/2/2024
79,8898,31,2,7/21/2024
80,239,5,3,6/12/2024
81,4575,64,2,3/28/2024
82,3365,77,3,3/3/2024
83,6746,89,4,5/12/2024
84,2560,92,4,6/28/2024
85,9834,54,1,5/17/2024
86,8957,74,2,9/2/2024
87,3561,81,1,4/12/2024
88,403,83,3,1/11/2024
89,9606,61,1,8/20/2024
90,9883,52,2,4/25/2024
91,2023,37,5,1/8/2024
92,2543,41,5,6/1/2024
93,4657,100,2,3/14/2024
94,5225,12,1,8/22/2024
95,1667,72,1,6/7/2024
96,962,3,5,2/28/2024
97,375,98,2,1/20/2024
98,8104,80,2,3/12/2024
99,9601,62,4,6/15/2024
100,3797,59,2,5/26/2024
101,7509,50,5,4/29/2024
102,5156,52,5,8/21/2024
103,5547,64,5,5/18/2024
104,4707,43,5,2/16/2024
105,3885,73,2,7/30/2024
106,8313,48,4,8/4/2024
107,4184,34,2,6/20/2024
108,5156,50,4,9/3/2024
109,2223,22,2,4/28/2024
110,4352,55,4,1/27/2024
111,8013,6,5,5/30/2024
112,5224,98,3,4/18/2024
113,984,39,4,1/31/2024
114,8620,52,3,5/23/2024
115,33,58,5,3/18/2024
116,7547,77,4,7/8/2024
117,4286,7,5,1/23/2024
118,1620,83,3,6/23/2024
119,195,41,1,8/6/2024
120,1026,72,1,6/15/2024
121,4208,56,4,8/12/2024
122,2426,41,4,4/16/2024
123,2900,23,1,6/10/2024
124,9853,54,3,3/15/2024
125,1863,44,5,5/30/2024
126,3738,81,5,8/17/2024
127,4436,41,2,3/1/2024
128,6194,85,5,6/8/2024
129,1879,67,3,2/24/2024
130,5516,23,5,6/22/2024
131,3150,9,1,6/29/2024
132,889,48,1,2/15/2024
133,6802,6,3,7/2/2024
134,6705,65,4,5/19/2024
135,4662,75,1,6/4/2024
136,2208,17,2,5/3/2024
137,3259,21,1,8/11/2024
138,1263,54,5,5/5/2024
139,5711,44,2,1/8/2024
140,6193,34,4,9/6/2024
141,3259,30,1,1/11/2024
142,8883,43,5,3/21/2024
143,895,78,2,8/24/2024
144,896,78,1,3/17/2024
145,4990,67,1,7/13/2024
146,3887,26,4,8/21/2024
147,199,76,2,3/11/2024
148,6807,47,4,7/28/2024
149,8130,85,2,7/12/2024
150,6132,5,2,5/15/2024
151,8446,49,2,8/16/2024
152,7273,50,3,1/15/2024
153,7816,49,3,6/6/2024
154,7027,75,3,5/16/2024
155,8313,36,5,1/21/2024
156,5391,64,2,3/7/2024
157,9647,3,2,9/7/2024
158,854,80,1,5/8/2024
159,9530,72,5,3/14/2024
160,1024,88,5,2/26/2024
161,8070,83,1,8/20/2024
162,5877,72,2,2/11/2024
163,6140,47,3,8/16/2024
164,5286,46,4,2/14/2024
165,7451,92,2,2/22/2024
166,709,87,3,5/6/2024
167,6315,97,5,8/9/2024
168,8030,43,4,8/19/2024
169,847,4,2,8/15/2024
170,9134,59,2,1/11/2024
171,9685,60,4,2/5/2024
172,2806,5,3,9/6/2024
173,5954,29,4,5/20/2024
174,2300,27,4,8/13/2024
175,9314,36,5,5/23/2024
176,6142,70,1,3/1/2024
177,5229,25,2,5/21/2024
178,2445,67,4,1/18/2024
179,2628,18,4,3/26/2024
180,1814,48,4,8/11/2024
181,9797,99,3,8/12/2024
182,4107,14,5,7/31/2024
183,9029,29,2,3/20/2024
184,6703,83,1,4/23/2024
185,9573,43,5,2/7/2024
186,8802,21,1,6/18/2024
187,2684,55,2,2/22/2024
188,7405,79,2,5/6/2024
189,7704,93,3,9/4/2024
190,1049,14,2,7/14/2024
191,7790,91,2,6/30/2024
192,2748,18,5,4/30/2024
193,9072,33,5,2/21/2024
194,9662,8,4,4/29/2024
195,2449,78,2,7/7/2024
196,9294,66,3,8/31/2024
197,9869,19,2,6/30/2024
198,228,69,2,8/30/2024
199,2233,16,1,4/20/2024
200,2154,75,5,7/7/2024
201,6336,100,5,1/9/2024
202,9093,33,3,7/8/2024
203,5628,39,1,6/6/2024
204,6767,11,1,2/15/2024
205,9154,25,2,1/13/2024
206,9495,76,1,4/15/2024
207,9104,13,1,5/18/2024
208,5325,83,4,1/19/2024
209,5629,84,5,5/1/2024
210,9013,17,2,3/15/2024
211,5537,35,2,6/2/2024
212,6041,58,2,3/30/2024
213,1601,15,1,9/10/2024
214,8683,78,3,4/8/2024
215,7238,20,3,2/12/2024
216,9361,82,2,2/8/2024
217,9933,46,1,1/25/2024
218,7946,100,1,2/14/2024
219,7319,1,4,7/19/2024
220,2482,69,2,5/16/2024
221,7161,36,3,2/22/2024
222,4279,32,2,3/11/2024
223,3528,68,2,3/2/2024
224,310,8,4,4/6/2024
225,8527,33,4,2/2/2024
226,112,73,3,4/10/2024
227,8583,11,2,3/1/2024
228,5061,87,1,8/19/2024
229,4976,67,4,7/7/2024
230,6432,64,4,3/1/2024
231,5643,7,1,4/13/2024
232,3204,97,1,3/3/2024
233,6990,39,5,1/21/2024
234,7474,36,2,7/7/2024
235,1392,58,1,6/4/2024
236,9999,57,5,2/6/2024
237,3003,35,3,7/21/2024
238,1902,48,2,5/16/2024
239,92,5,1,7/21/2024
240,4394,56,5,5/28/2024
241,2129,2,5,3/20/2024
242,8865,55,4,7/4/2024
243,5653,61,5,2/13/2024
244,8984,54,4,4/16/2024
245,5098,4,3,8/15/2024
246,8952,34,4,8/2/2024
247,9538,79,5,5/5/2024
248,387,32,4,3/12/2024
249,8583,67,3,6/27/2024
250,8521,100,4,8/1/2024
251,3613,36,4,9/3/2024
252,5502,16,1,6/29/2024
253,9612,42,3,8/31/2024
254,5358,44,5,9/11/2024
255,630,67,2,8/14/2024
256,5202,66,2,5/1/2024
257,681,62,1,1/18/2024
258,4263,12,5,6/17/2024
259,9375,31,2,4/1/2024
260,3036,66,5,9/10/2024
261,1108,34,2,8/2/2024
262,4287,46,4,9/11/2024
263,3862,63,2,6/5/2024
264,1045,91,5,8/8/2024
265,3301,44,3,7/4/2024
266,3654,83,5,1/13/2024
267,7760,43,4,9/7/2024
268,7858,78,2,6/15/2024
269,8890,89,4,9/2/2024
270,7791,93,4,2/8/2024
271,2489,24,5,8/1/2024
272,8604,52,3,4/18/2024
273,7638,74,3,9/9/2024
274,2984,4,5,4/20/2024
275,7245,99,4,6/13/2024
276,4228,82,4,3/1/2024
277,8929,10,4,6/4/2024
278,1565,77,4,7/7/2024
279,5625,35,3,2/9/2024
280,2718,22,2,1/16/2024
281,4610,73,5,7/18/2024
282,9929,100,2,9/1/2024
283,5960,48,1,6/15/2024
284,6888,83,3,6/12/2024
285,5302,38,2,1/31/2024
286,1564,9,1,2/8/2024
287,1255,92,4,2/14/2024
288,2016,41,5,8/14/2024
289,9947,2,3,9/5/2024
290,2864,78,5,2/7/2024
291,390,37,4,7/5/2024
292,3354,74,5,8/3/2024
293,4027,42,3,1/16/2024
294,2272,93,4,1/16/2024
295,3628,94,5,1/27/2024
296,3628,20,1,2/19/2024
297,6481,78,1,5/4/2024
298,8353,17,1,7/21/2024
299,3932,36,3,8/24/2024
300,9110,93,5,6/10/2024
301,3904,58,2,2/17/2024
302,455,29,5,8/7/2024
303,4917,37,1,4/2/2024
304,5165,98,5,6/19/2024
305,7687,53,5,1/1/2024
306,9536,60,2,8/12/2024
307,797,86,1,1/3/2024
308,6101,33,2,1/8/2024
309,9980,27,3,6/19/2024
310,9138,32,1,4/15/2024
311,7160,45,5,8/18/2024
312,8061,10,3,1/31/2024
313,7689,12,3,1/13/2024
314,6312,18,2,5/17/2024
315,7646,61,4,1/1/2024
316,1648,81,4,5/5/2024
317,8054,65,4,4/30/2024
318,646,96,5,9/6/2024
319,8364,64,5,8/31/2024
320,2009,36,3,1/14/2024
321,4501,24,1,6/2/2024
322,639,47,2,8/15/2024
323,4322,67,5,2/29/2024
324,5159,54,4,7/19/2024
325,3469,76,4,8/18/2024
326,8328,69,5,5/2/2024
327,1211,88,3,1/11/2024
328,3014,95,2,7/21/2024
329,2736,22,1,8/15/2024
330,4081,75,1,7/5/2024
331,3601,50,5,4/17/2024
332,6148,47,4,8/30/2024
333,3998,61,4,5/25/2024
334,3206,2,5,1/5/2024
335,7140,14,1,2/14/2024
336,4009,24,3,5/17/2024
337,6181,99,4,2/8/2024
338,3879,25,5,5/29/2024
339,7201,75,3,7/7/2024
340,734,45,1,3/30/2024
341,8692,82,3,3/16/2024
342,4730,89,4,6/24/2024
343,9417,28,2,1/23/2024
344,7593,66,3,6/9/2024
345,2369,19,5,1/28/2024
346,8937,93,4,4/14/2024
347,468,32,1,7/20/2024
348,9613,84,3,8/4/2024
349,459,86,1,7/3/2024
350,4954,72,5,3/17/2024
351,6556,64,2,6/19/2024
352,1124,35,4,4/25/2024
353,4670,63,3,1/14/2024
354,1416,51,4,3/21/2024
355,204,70,2,5/6/2024
356,6532,29,5,7/18/2024
357,8597,45,4,4/16/2024
358,1122,51,4,6/6/2024
359,2029,17,2,4/15/2024
360,6024,89,4,1/3/2024
