sale_id,customer_id,product_id,quantity_sold,sale_date
1,9506,22,5,2024/08/04
2,2154,20,4,2024/03/15
3,2244,37,4,2024/01/24
4,4371,12,2,2024/01/10
5,6484,71,4,2024/01/08
6,1766,76,2,2024/06/23
7,5165,60,2,2024/01/25
8,3037,69,1,2024/05/02
9,2596,97,1,2024/03/21
10,6051,13,3,2024/04/19
11,9956,90,5,2024/07/10
12,9893,92,2,2024/04/04
13,3050,9,5,2024/01/27
14,2361,94,4,2024/08/09
15,2258,93,2,2024/05/16
16,9249,5,1,2024/07/29
17,4875,26,3,2024/06/17
18,4699,25,5,2024/03/15
19,8694,13,2,2024/01/18
20,7664,6,1,2024/04/17
21,8888,71,1,2024/04/04
22,3163,29,3,2024/04/15
23,2880,7,5,2024/08/12
24,1712,100,1,2024/01/19
25,6121,29,2,2024/05/13
26,4466,27,1,2024/07/07
27,2920,64,2,2024/08/27
28,7511,2,4,2024/06/17
29,4394,70,1,2024/09/03
30,4886,2,5,2024/01/18
31,1946,43,2,2024/02/03
32,1947,86,3,2024/08/13
33,2167,51,2,2024/05/31
34,8302,32,4,2024/02/27
35,4761,50,5,2024/03/12
36,540,59,2,2024/04/25
37,9707,64,1,2024/01/08
38,1164,72,3,2024/05/04
39,5933,94,4,2024/09/10
40,1359,80,3,2024/01/30
41,1220,52,3,2024/07/26
42,4324,38,5,2024/04/22
43,7228,24,2,2024/05/11
44,8000,86,3,2024/08/30
45,4582,66,2,2024/07/03
46,9848,33,5,2024/05/30
47,6226,11,1,2024/04/07
48,5537,100,4,2024/05/14
49,1422,33,5,2024/01/16
50,8327,58,1,2024/04/05
51,5274,94,3,2024/03/28
52,382,52,3,2024/03/22
53,7922,57,2,2024/01/26
54,4475,98,1,2024/02/01
55,2878,13,2,2024/03/20
56,7904,50,5,2024/04/12
57,3570,91,1,2024/01/13
58,7147,58,5,2024/09/05
59,5240,17,4,2024/04/30
60,5067,68,4,2024/03/09
61,5661,78,1,2024/01/13
62,8589,45,4,2024/04/10
63,3073,99,1,2024/06/30
64,5931,93,2,2024/02/02
65,8995,80,4,2024/08/01
66,9616,77,2,2024/06/16
67,9885,62,4,2024/07/14
68,4586,49,2,2024/01/08
69,5628,83,1,2024/03/27
70,1081,30,5,2024/02/25
71,1868,79,3,2024/08/06
72,7447,90,1,2024/03/08
73,1090,69,4,2024/08/02
74,6235,84,3,2024/02/09
75,6659,1,5,2024/06/02
76,1770,21,5,2024/02/07
77,7443,49,3,2024/08/21
78,3283,16,5,2024/06/30
79,1864,11,3,2024/03/25
80,1505,18,2,2024/05/05
81,1507,55,5,2024/09/11
82,6210,11,1,2024/03/17
83,6470,73,2,2024/01/15
84,918,67,4,2024/07/04
85,4022,68,3,2024/05/29
86,3249,85,1,2024/01/24
87,1889,13,5,2024/03/05
88,5679,85,4,2024/05/25
89,6280,38,2,2024/01/08
90,1696,94,3,2024/03/04
91,4046,65,1,2024/03/10
92,3434,46,5,2024/06/01
93,8874,12,4,2024/03/01
94,1928,83,1,2024/05/17
95,5855,65,5,2024/09/01
96,5638,37,3,2024/07/01
97,4756,95,3,2024/02/14
98,4518,84,3,2024/07/22
99,5567,58,3,2024/07/26
100,9441,94,1,2024/07/08
101,6325,98,2,2024/06/30
102,5569,75,4,2024/03/04
103,1282,63,4,2024/07/29
104,6574,14,1,2024/04/25
105,2957,45,1,2024/08/28
106,5304,39,2,2024/01/16
107,8022,66,4,2024/07/30
108,6027,10,1,2024/09/11
109,6780,43,1,2024/08/11
110,8009,19,3,2024/01/06
111,9567,93,3,2024/05/15
112,9828,27,5,2024/06/19
113,1718,2,4,2024/03/24
114,6638,17,2,2024/03/19
115,4939,20,2,2024/07/16
116,8113,5,1,2024/09/09
117,4548,93,3,2024/02/03
118,219,8,5,2024/01/11
119,2840,58,2,2024/01/09
120,1928,89,2,2024/05/07
121,854,84,5,2024/01/08
122,45,64,3,2024/07/28
123,6031,29,3,2024/05/04
124,6492,9,4,2024/03/01
125,321,6,3,2024/02/10
126,6569,37,3,2024/02/01
127,3813,51,1,2024/01/27
128,5816,52,1,2024/08/27
129,1282,60,5,2024/08/30
130,5243,22,1,2024/06/16
131,4884,24,1,2024/06/02
132,6627,49,1,2024/03/06
133,3479,11,3,2024/02/27
134,9192,72,5,2024/04/17
135,2159,45,5,2024/05/27
136,5940,64,3,2024/01/03
137,8932,55,1,2024/03/26
138,8410,82,4,2024/04/18
139,5071,56,4,2024/03/26
140,966,63,5,2024/06/07
141,7174,23,2,2024/08/23
142,3666,85,3,2024/08/21
143,6820,57,2,2024/03/12
144,814,84,5,2024/01/13
145,8946,89,5,2024/05/01
146,7214,9,3,2024/07/27
147,3367,92,1,2024/07/05
148,5222,17,5,2024/05/02
149,7701,96,4,2024/01/12
150,2840,20,5,2024/05/11
151,3921,48,1,2024/03/06
152,7276,51,1,2024/03/22
153,6504,14,1,2024/03/28
